account_name,username,num_following,num_following,Political Leaning,Position
GovernorPerry,Rick Perry , 29 054 , 344 251 ,"Republican, Democrat before 1989","Governor of Texas, presidential candidate"
TGowdySC,Trey Gowdy ,429, 329 498 ,Republican/Tea Party,Representative for South Carolina
RBReich,Robert Reich ,100, 300 649 ,Democrat,former Secretary of Labor
RickSantorum,Rick Santorum , 1 348 , 273 803 ,Republican,"former Senator from Pennsylvania, presidential candidate"
PreetBharara,US Attorney Bharara ,13, 271 790 ,Democrat,US Attorney for Southern District of NY
alfranken,Al Franken , 46 551 , 266 209 ,Democrat,Senator from Minnesota
MicheleBachmann,Michele Bachmann , 3 070 , 262 590 ,Republican,"Former Representative from Minnesota, presidential candidate"
JohnKingatED,John King ,259, 262 504 ,Democrat,Secretary of Education
EricCantor,Eric Cantor , 8 710 , 260 859 ,Republican,Former Representative from Virginia
FreedomWorks,FreedomWorks , 21 902 , 258 619 ,Conservative/Libertarian,Advocacy group associated with Tea Party
LindaSuhler,Linda Suhler Ph.D. , 93 517 , 253 116 ,Conservative ,"Twitter activist, retired molecular biologist"
BorisJohnson,Boris Johnson ,45, 252 002 ,Conservative,"Secretary of State for Foreign and Commonwealth Affairs UK, former mayor of London"
SenMikeLee,Mike Lee , 2 413 , 244 977 ,Republican,Senator from Utah
BobbyJindal,Gov. Bobby Jindal , 20 617 , 243 624 ,Republican,"former Governor of Louisiana, presidential candidate"
ScottWalker,Scott Walker ,198, 236 624 ,Republican,Governor of Wisconsin
VoteRocky2016,Roque De La Fuente ,215, 233 194 ,Democrat,Presidential candidate
DarrellIssa,Darrell Issa , 35 016 , 227 530 ,Republican,Representative from California
JimDeMint,Jim DeMint , 7 794 , 226 159 ,Republican,"President of the Heritage Foundation, former Senator from South Carolina, leading figure in Tea Party"
GeorgeHWBush,George Bush ,19, 209 330 ,Republican,Former president
KasimReed,Kasim Reed , 6 142 , 203 014 ,Democrat,Mayor of Atlanta
repjohnlewis,John Lewis ,167, 199 634 ,Democrat,Representative from Georgia
GabbyGiffords,Gabrielle Giffords , 6 194 , 198 236 ,Democrat,Former representative from Arizona
dccc,DCCC , 60 710 , 194 212 ,Democrat,Campaign arm of democrats in the House
SenGillibrand,Kirsten Gillibrand ,473, 193 501 ,Democrat,Senator from New York
BishopNoelJones,Bishop Noel Jones ,298, 191 493 ,,Pastor
CondoleezzaRice,Condoleezza Rice ,9, 186 300 ,Republican,"Former secretary of state, democrat before 1982"
jeffarazzi,Jeff Johnson , 141 656 , 185 027 ,,Digital strategist
wendydavis,Wendy Davis ,972, 180 256 ,Democrat,"Former senator from Texas, republican before 2006"
RepRonPaul,Ron Paul ,368, 178 856 ,Libertarian,"Former representative from Texas, former presidential candidate, former Republican"
TPPatriots,Tea Party Patriots , 55 005 , 176 983 ,Tea Party,
MassGovernor,Charlie Baker , 11 132 , 173 613 ,Republican,Governor of Massachusetts
GovWalker,Governor Walker ,248, 161 852 ,Republican,Governor of Wisconsin
SenSchumer,Chuck Schumer , 26 750 , 155 727 ,Democrat,Senator from New York
nikkihaley,Nikki Haley ,172, 155 717 ,Republican,Governor of South Carolina
TeamCantor,Team Cantor ,58, 152 142 ,Republican,Former representative from Virginia
jasoninthehouse,Jason Chaffetz , 1 412 , 149 903 ,Republican,"Representative from Utah, former Democrat"
ChrisChristie,Chris Christie ,201, 146 191 ,Republican,Governor of New Jersey
ericgarcetti,Eric Garcetti , 1 819 , 145 719 ,Democrat,Mayor of Los Angeles
McFaul,Michael McFaul ,987, 142 835 ,Democrat,Former US ambassador to Russia
ForAmerica,ForAmerica , 51 142 , 142 806 ,Republican,
billpostmus,Bill Postmus , 149 809 , 141 948 ,Republican,Former elected official and GOP chair
Madam_President,Madam President , 112 835 , 137 994 ,Democrat,
